id,年齡,性別,教育程度,月收入,滿意度,使用頻率,推薦指數,產品體驗評分,功能評價,界面友好度,願意繼續使用
1,39.56026937635919,男,高中,65107.12622404193,min,每月,7,min,優秀,std,是
2,30.286049405395925,女,大學,30519.857807742537,4,每週,max,min,一般,max,是
3,24.550978659884873,女,高中,27422.07830386732,max,每月,max,mean,較差,mean,否
4,28.019722258862014,男,高中,44610.238628818566,max,每週,max,min,非常好,4,是
5,40.39072261140151,男,大學,75000.0,mean,每週,min,min,較差,mean,是
6,32.0769726715713,女,碩士,27857.764564699188,max,每月,mean,mean,較差,min,否
7,36.21305929479008,男,大學,27000.0,max,每週,std,mean,較差,max,是
8,36.70535611258001,男,高中,51194.33739856736,max,每週,std,std,較差,max,是
9,22.0,女,大學,46000.0,mean,每天,mean,3,一般,max,是
10,32.42935342558369,男,高中,46116.67756587562,mean,很少,max,mean,非常好,max,是
11,45.381639929558546,女,博士,49830.17043051862,min,每週,mean,5,優秀,max,是
12,34.24560108960891,男,大學,42198.420727038676,mean,每週,mean,max,很好,max,是
13,27.808298217981527,男,高中,27883.07599921812,mean,每週,mean,mean,較差,min,否
14,35.7666338304253,女,碩士,55692.835022973595,max,每週,max,max,很好,max,是
15,41.1959029341182,男,大學,27387.460415751728,max,每週,6,mean,一般,max,是
16,32.71918090419472,女,碩士,35885.01696462551,max,每週,8,max,很好,max,是
17,35.0893099657448,男,大學,43947.19111154645,mean,每週,mean,mean,一般,min,是
18,37.46980803890626,女,高中,28969.69093632999,2,每月,min,min,較差,max,否
19,34.978164003873275,女,大學,46086.15472800389,4,每週,7,mean,一般,mean,是
20,26.641235088591042,男,大學,39228.15671103849,mean,每天,min,max,很好,mean,是
21,26.282186633087782,女,博士,30351.250452380315,min,每天,mean,mean,一般,min,否
22,28.699415122176788,男,大學,34084.81068450112,min,每週,min,min,非常好,3,是
23,35.491692161108936,男,高中,27235.678185891436,max,每週,min,2,較差,max,否
24,31.866266819437655,女,大學,39637.6203223326,mean,每週,max,4,很好,min,是
25,37.55054283192302,女,碩士,53493.4311378322,max,每天,mean,mean,很好,mean,是
26,27.650695658009212,女,大學,43832.689163514144,min,每週,min,max,很好,std,是
27,40.0,男,碩士,58396.427961816844,min,每月,8,max,非常好,max,是
28,32.719481047259485,女,大學,26890.51946759767,4,每週,min,mean,較差,mean,否
29,42.0,女,博士,28020.0638212197,max,每天,max,mean,一般,4,否
30,29.157154854476985,男,大學,49896.1557263192,min,每月,mean,mean,非常好,max,是
31,33.99692715590719,男,大學,33524.39919241715,min,每週,7,max,很好,max,是
32,41.30507490952156,女,博士,28273.02338486635,min,很少,max,min,較差,min,否
33,32.602518736221,男,大學,61931.16892036487,max,很少,mean,4,一般,max,否
34,22.0,女,碩士,37729.83648217939,min,每週,min,max,一般,3,是
35,41.64924860621476,女,大學,39994.50886963891,mean,每天,mean,max,一般,mean,是
36,25.0,女,碩士,33000.0,max,每天,max,2,較差,min,否
37,36.30287448985234,女,大學,32000.0,mean,每天,max,min,很好,max,是
38,25.208193439398965,男,高中,31464.874959265468,2,每月,max,max,較差,min,否
39,29.970593357631216,男,大學,38771.45586205683,mean,每週,min,min,很好,mean,是
40,22.0,男,大學,40186.43010303966,max,每週,max,min,一般,3,是
41,31.916812588703664,女,大學,28000.0,mean,每週,6,max,一般,4,是
42,34.415988510416135,男,碩士,30965.49736763381,2,每月,mean,max,較差,min,否
43,41.607323365977685,女,碩士,74238.35066707221,min,每天,mean,max,非常好,max,是
44,29.86075439745753,男,高中,46000.0,3,每週,mean,mean,一般,min,是
45,36.80510555947138,女,大學,50240.814214607366,4,每週,min,max,很好,3,是
46,41.04253741423617,女,大學,48332.305673702715,max,每天,min,4,很好,min,是
47,37.44771835312321,男,大學,40768.31467516011,mean,每天,mean,mean,很好,4,是
48,32.02003289197038,女,大學,28845.93038552848,mean,每週,mean,mean,很好,std,是
49,38.18209811156298,女,高中,29517.880348032468,min,每月,min,max,較差,min,否
50,37.98219769273622,男,高中,32484.454078060822,min,每月,std,3,一般,mean,是
51,29.339639459145403,女,大學,54586.091143661666,std,每週,min,min,一般,min,是
52,33.41684819844198,女,大學,34817.3295155027,3,每週,mean,mean,一般,max,否
53,34.30437131660324,男,高中,52316.071935842876,mean,每天,max,mean,很好,min,是
54,38.41386626153258,女,高中,52050.517185907374,mean,每週,min,max,很好,min,是
55,25.0,男,大學,55271.373802188464,mean,每天,std,min,較差,min,是
56,33.1746321322625,男,碩士,52514.14451821964,min,每週,max,max,較差,max,是
57,43.917038548719596,女,碩士,47973.0181564484,mean,每天,mean,mean,很好,4,是
58,34.2428434380528,女,大學,30590.871730902956,max,每週,mean,min,較差,max,否
59,26.046877550579012,男,大學,47253.33610580063,mean,每天,min,mean,一般,min,否
60,38.12267845622251,男,碩士,29700.502854360053,min,每月,min,min,較差,min,否
61,32.6610847105899,男,高中,25000.0,min,每天,min,mean,一般,max,是
62,24.76507356455608,女,大學,30508.180136460192,min,每天,max,mean,很好,3,是
63,27.598838775421193,男,大學,29261.85627804846,min,每月,min,3,一般,min,是
64,37.73742902904145,女,碩士,49324.72932684311,mean,每天,std,mean,優秀,mean,否
65,25.768022322850307,女,大學,48568.74941260514,min,每月,min,mean,一般,max,是
66,38.438930355031374,男,高中,37724.611197472026,4,每週,max,mean,很好,min,是
67,40.39263925385741,男,碩士,67381.43643100378,min,每天,mean,mean,優秀,max,是
68,33.754251506669014,女,博士,37289.860775899426,max,每天,max,max,較差,max,是
69,37.978502560712386,女,大學,33800.19551635679,mean,每週,mean,max,很好,mean,否
70,26.32205364529632,男,大學,38691.655977949034,min,每天,min,max,很好,min,是
71,29.48270612416902,女,大學,59078.28856084306,max,每週,min,mean,一般,std,是
72,28.916635215017557,女,大學,39866.95443158701,min,每週,max,max,很好,mean,是
73,29.88765826069868,男,高中,26926.511031850605,max,每週,max,2,較差,min,否
74,41.57904169658501,女,大學,52723.81198122057,max,每週,mean,mean,很好,mean,是
75,34.21753815388966,男,大學,46000.0,3,每週,6,mean,一般,max,是 
76,25.346928587050098,女,大學,25000.0,max,每週,max,mean,較差,mean,是
77,28.680287194988136,男,大學,31339.535890256597,mean,每月,max,min,一般,mean,是
78,40.53919038201518,女,博士,52783.82372934867,mean,每天,max,min,優秀,max,是
79,30.6529008272148,男,大學,37396.44938592347,max,每月,mean,min,較差,min,是
80,42.94973799069634,男,大學,30956.883851670784,min,每週,min,min,一般,max,是
81,31.077924885660828,男,大學,45218.30038005911,mean,每週,min,max,一般,3,是
82,31.327400719800615,女,大學,33761.22058475796,max,每週,max,mean,很好,max,是
83,26.228427782085234,女,大學,25000.0,mean,每週,max,mean,優秀,3,是
84,28.88031177656988,男,大學,37263.96742406835,mean,每週,max,mean,很好,max,是
85,33.84879832800701,男,大學,43303.68878431405,mean,每月,mean,min,很好,max,是
86,34.458495866135266,女,碩士,30781.523088376467,min,每月,min,4,很好,mean,否
87,34.524366839767005,男,大學,55953.107629543854,mean,每週,max,max,一般,4,是
88,31.061952109812903,女,碩士,41752.22594770456,min,每週,max,mean,一般,mean,是
89,25.014287997810555,男,大學,42626.18221764612,max,每天,min,4,很好,min,是
90,25.927828556814347,女,大學,38150.765823957496,mean,每週,mean,min,非常好,3,是
91,33.02092556699931,女,大學,55873.91513259602,min,每週,max,mean,很好,min,是
92,47.0,男,高中,57515.68929055697,5,每天,min,mean,優秀,min,是
93,31.706580741365837,女,碩士,59791.53676108127,4,每週,mean,min,很好,min,是
94,35.690435913353994,女,大學,44657.37678557128,4,每天,max,mean,非常好,mean,是
95,36.69691688218937,男,大學,25000.0,mean,很少,mean,mean,一般,max,是
96,34.17733184660638,男,大學,48303.99074876045,4,每天,min,mean,非常好,max,是
97,31.64931357530423,女,大學,29039.498856288752,mean,每月,mean,max,較差,min,否
98,39.64449075967099,男,大學,60081.840540019846,4,每週,mean,max,很好,max,是
99,34.51748916364577,男,大學,37554.39211525765,mean,每天,max,mean,一般,max,是
100,38.34548710069451,男,大學,41740.390530948986,max,每週,mean,max,一般,min,是
